school_name,area,address,level,bus,AddmissionLast Date
Stamford Primary School,South,"1 Victoria Lane, Central, S(198423)",Primary,2;7;12;32;33;61;62;63;80;130;133;145;197;NR8,
,,,,,
,,,,,
Canberra Primary School,North,"21 Admiralty Drive, Sembawang, S(757714)",Primary,859,
Punggol Cove Primary School,East,"52 Sumang Walk, Punggol, S(828674)",Primary,,
,,,,,
Lianhua Primary School,West,"2 Bukit Batok Street 52, Bukit Batok, S(659243)",Primary,945,
,,,,,
Assumption English School,West,"622 Upper Bukit Timah Road, Bukit Panjang, S(678117)",Secondary,67;75;170;171;176;178;184;961;963;970,
Sembawang Secondary School,North,"30 Sembawang Crescent, Sembawang, S(757704)",Secondary,859;962,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Greenridge Primary School,West,"11 Jelapang Road, Bukit Panjang, S(677744)",Primary,920;922;972,
Haig Girls' School,East,"51 Koon Seng Road, Geylang, S(427072)",Primary,16;33,
,,,,,
East Coast Primary School,East,"8 Chai Chee Lane, Bedok, S(469031)",Primary,222,
,,,,,
Punggol Green Primary SCHOOL,East,"98 Punggol Walk, Punggol, S(828772)",Primary,,
Marsiling Primary School,North,"31 Woodlands Centre Road, Woodlands, S(738927)",Primary,856;911;912,
Zhenghua Secondary School,West,"91 Senja Road, Bukit Panjang, S(677741)",Secondary,920;922,
,,,,,
,,,,,
,,,,,
St. Stephen'S School,East,"20 Siglap View, Bedok, S(455789)",Primary,2;7;24;25;26;28;30;32;33;67;854,
,,,,,
,,,,,
,,,,,
,,,,,
Zhonghua Secondary School,South,"13 Serangoon Avenue 3, Serangoon, S(556123)",Secondary,22;43;45;53;58;70;81;82;100;101;103;105;107;109;133;135;147;153;158;315;317;853,
,,,,,
Kuo Chuan Presbyterian Primary School,South,"8 Bishan Street 13, Bishan, S(579793)",Primary,76;132;165;166;169;265;268;269,
North Vista Secondary School,North,"11 Rivervale Link, Seng Kang, S(545081)",Secondary,80;82;87;88;89;119,
,,,,,
    river valley primary school,South,"2 River Valley Green, Central, S(237993)",Primary,5;16;32;54;65;75;175;970,
Corporation Primary School,West,"31 Jurong West Street 24, Jurong West, S(648347)",Primary,157;185,
BENDEMEER SECONDARY SCHOOL,South,"1 St Wilfred Road, Kallang, S(327919)",Secondary,13;23;31;64;65;66;125;133;140;147;857;985,
Punggol Secondary School,North,"51 Edgefield Plains, Punggol, S(828870)",Secondary,3;34;62;82;83;85;136;965;386,
,,,,,
Nan Hua Primary School,West,"170 West Coast Road, Clementi, S(127443)",Primary,30;51;143;175;201;533;655;727;762,
Presbyterian High School,North,"5209 Ang Mo Kio Avenue 6, Ang Mo Kio, S(569845)",Secondary,45;70;76;86;128;529;668;733;825;851;852;853,
